Publish Date,Publisher,Title,Written by
2014 Jun,Vision Res,The first-night effect suppresses the strength of slow-wave activity originating in the visual areas during sleep.,Sasaki Y et al.
2014 Apr,J Clin Neurosci,Acute inferior homonymous quandrantanopia in a 71-year-old woman.,Heckmann JG et al.
2014 Feb,Epilepsy Behav,Lesion side matters - an fMRI study on the association between neural correlates of watching dynamic fearful faces and their evaluation in patients with temporal lobe epilepsy.,Woermann FG et al.
2013,Biomed Res Int,Plasticity in the human visual cortex: an ophthalmology-based perspective.,Castelo-Branco M et al.
2013,PLoS One,Altered resting state brain networks in Parkinson's disease.,Krämer UM et al.
2013 Nov 7,Nature,Cortical connectivity and sensory coding.,Mrsic-Flogel TD et al.
2013 Dec,Nat Rev Neurosci,Synaptic plasticity: Balancing firing rates in vivo.,Whalley K et al.
2014 Jan,Neuropsychologia,An objective index of individual face discrimination in the right occipito-temporal cortex by means of fast periodic oddball stimulation.,Rossion B et al.
2013 Nov 4,Curr Biol,Neuroscience: the cortical layering of visual processing.,Maier A et al.
2013 Nov 6,J Neurosci,Visual acuity development and plasticity in the absence of sensory experience.,Fagiolini M et al.
2014 Feb,J Neurophysiol,Dynamics and cortical distribution of neural responses to 2D and 3D motion in human.,Norcia AM et al.
2014 Aug,Surg Today,Successful non-operative management of left atrioesophageal fistula following catheter ablation.,Adachi H et al.
2013 Dec,Biol Cybern,A computational theory of visual receptive fields.,Lindeberg T et al.
2013 Nov 7,Sci Rep,Neural mechanism for sensing fast motion in dim light.,Wang Y et al.
2013,J Vasc Res,Vasopressin-induced constriction of the isolated rat occipital artery is segment dependent.,Robertson TP et al.
2013 Nov 19,Proc Natl Acad Sci U S A,Long-term inhibitory plasticity in visual cortical layer 4 switches sign at the opening of the critical period.,Turrigiano GG et al.
2014 Jan,Neuropsychologia,Neuroanatomic correlates of the feature-salience hierarchy in face processing: an fMRI -adaptation study.,Davies-Thompson J et al.
2014 Feb 15,Neuroimage,Occipital GABA correlates with cognitive failures in daily life.,Kanai R et al.
2015 Jan,Brain Struct Funct,Not on speaking terms: hallucinations and structural network disconnectivity in schizophrenia.,Aleman A et al.
2013 Dec,Nat Neurosci,Integration of visual motion and locomotion in mouse visual cortex.,Carandini M et al.
2014 Feb 1,Neuroimage,Group-level spatial independent component analysis of Fourier envelopes of resting-state MEG data.,Hyvärinen A et al.
2014 Feb 1,Neuroimage,The superior temporal sulcus and the N170 during face processing: single trial analysis of concurrent EEG-fMRI.,Cunnington R et al.
2014 Feb 1,Neuroimage,Dynamic gamma frequency feedback coupling between higher and lower order visual cortices underlies perceptual completion in humans.,Strange BA et al.
2014 Feb 1,Neuroimage,The extrastriate body area is involved in illusory limb ownership.,Blankenburg F et al.
2014 Sep,IEEE Trans Cybern,Introducing memory and association mechanism into a biologically inspired visual model.,Wang P et al.
2013 Nov 18,Curr Biol,Prestimulus oscillatory phase at 7 Hz gates cortical information flow and visual perception.,Greenlee MW et al.
2013 Nov 18,Curr Biol,Decoding the yellow of a gray banana.,Bartels A et al.
2013 Dec,Clin Neurol Neurosurg,Mindfulness based intervention in Parkinson's disease leads to structural brain changes on MRI: a randomized controlled longitudinal trial.,Parizel PM et al.
2013 Dec 30,Psychiatry Res,Resting state fMRI entropy probes complexity of brain activity in adults with ADHD.,Thome J et al.
2013 Nov 14,Cell Rep,A molecular mechanism regulating the timing of corticogeniculate innervation.,Fox MA et al.
2014 Apr,Brain Lang,Cortico-cortical connections of areas 44 and 45B in the macaque monkey.,Petrides M et al.
2013 Sep,J Clin Diagn Res,Brain abscess as a complication of chronic thromboembolic pulmonary hypertension - a rare case report.,S C et al.
2013,Neuroimage Clin,Prediction of post-surgical seizure outcome in left mesial temporal lobe epilepsy.,Weber B et al.
2013,Neuroimage Clin,Neural correlates of the DemTect in Alzheimer's disease and frontotemporal lobar degeneration - A combined MRI &amp; FDG-PET study.,Schroeter ML et al.
2013 Nov 29,Science,BTBD3 controls dendrite orientation toward active axons in mammalian neocortex.,Shimogori T et al.
2015 Apr,Cereb Cortex,The role of the right temporoparietal junction in the control of imitation.,Catmur C et al.
2014 Mar,Clin Neurophysiol,Modelling the electric field and the current density generated by cerebellar transcranial DC stimulation in humans.,Ravazzani P et al.
2013 Oct 30,J Neurosci,Top-down control of visual responses to fear by the amygdala.,Calder AJ et al.
2013 Oct 30,J Neurosci,Distinct balance of excitation and inhibition in an interareal feedforward and feedback circuit of mouse visual cortex.,Burkhalter A et al.
2015 Jan,Brain Struct Funct,Retrograde transneuronal degeneration in the retina and lateral geniculate nucleus of the V1-lesioned marmoset monkey.,Bourne JA et al.
2013 Jul-Aug,Rev Col Bras Cir,Traumatic brain injury by a firearm projectile: a 16 years experience of the neurosurgery service of Santa Casa de São Paulo.,de Aguiar GB et al.
2014 Aug,Surg Radiol Anat,Pseudo-intraventricular hemorrhage from a deep calcarine fissure.,Leonini S et al.
2013 Oct 31,Nature,David Hunter Hubel (1926-2013).,Shatz CJ et al.
2013 Oct 31,Nature,Visual acuity: Bird vision offers sharp insight.,Scarf D et al.
2013 Nov,Vis Neurosci,Linking sensory neurons to visually guided behavior: relating MST activity to steering in a virtual environment.,Britten KH et al.
2014 May-Jun,Eur J Ophthalmol,Assessment of cortical dysfunction in infantile esotropia using fMRI.,Liu L et al.
2014 Apr,J Cogn Neurosci,Learning to read an alphabet of human faces produces left-lateralized training effects in the fusiform gyrus.,Fiez JA et al.
2013 Sep,J Cerebrovasc Endovasc Neurosurg,Clinical and radiological spectrum of posterior reversible encephalopathy syndrome.,Lee JY et al.
2013,Front Hum Neurosci,Training of ultra-fast speech comprehension induces functional reorganization of the central-visual system in late-blind humans.,Ackermann H et al.
2013 Oct 28,J Vis,Motion-direction specificity for adaptation-induced duration compression depends on temporal frequency.,Johnston A et al.
2013 Sep-Oct,Neurol Neurochir Pol,The influence of the menstrual cycle on the result of brain examination with hydrogen magnetic resonance spectroscopy - a pilot study.,Urbanik A et al.
2013 Nov 7,Nature,Dendritic spikes enhance stimulus selectivity in cortical neurons in vivo.,Häusser M et al.
2014,J Neural Transm (Vienna),Evidence for metaplasticity in the human visual cortex.,Sartucci F et al.
2014 Jan,Magn Reson Imaging,A combined DTI and structural MRI study in medicated-naïve chronic schizophrenia.,Hong N et al.
2014 Jan,Vis Neurosci,"Uniformity and diversity of response properties of neurons in the primary visual cortex: selectivity for orientation, direction of motion, and stimulus size from center to far periphery.",Rosa MG et al.
2013 May-Jun,Biofizika,[Geomagnetic storm decreases coherence of electric oscillations of human brain while working at the computer].,Smirnov FA et al.
2014 Jan,Jpn J Ophthalmol,Outcome of conventional treatment for adult amblyopia.,Ohtsuki H et al.
2013,Neuropsychobiology,Altered activity of the primary visual area during gaze processing in individuals with high-functioning autistic spectrum disorder: a magnetoencephalography study.,Someya T et al.
2014 Jun 1,Biol Psychiatry,Functional t1ρ imaging in panic disorder.,Wemmie JA et al.
2013 Dec 30,Psychiatry Res,Modulation of fronto-limbic activity by the psychoeducation in euthymic bipolar patients. A functional MRI study.,Polosan M et al.
2013 Oct 21,Curr Biol,Perceptual effects of stimulating V5/hMT+ during binocular rivalry are state specific.,Bartels A et al.
2013 Oct 23,J Neurosci,Strabismus disrupts binocular synaptic integration in primary visual cortex.,Priebe NJ et al.
2013 Oct 23,J Neurosci,Altered intrinsic neuronal interactions in the visual cortex of the blind.,Hipp JF et al.
2013 Oct 23,J Neurosci,Topographic representation of an occluded object and the effects of spatiotemporal context in human early visual areas.,Ejima Y et al.
2013 Oct 23,J Neurosci,Slower rate of binocular rivalry in autism.,Baker CI et al.
2015 Apr,Cereb Cortex,TMS over V5 disrupts motion prediction.,Muckli L et al.
2014 Jan,Psychoneuroendocrinology,Aerobic exercise interacts with neurotrophic factors to predict cognitive functioning in adolescents.,So KF et al.
2013 Oct,IEEE Trans Biomed Circuits Syst,Opto- μECoG array: a hybrid neural interface with transparent μECoG electrode array and integrated LEDs for optogenetics.,Li W et al.
2014 Mar,J Cogn Neurosci,Clutter modulates the representation of target objects in the human occipitotemporal cortex.,Yovel G et al.
2013 Nov 4,Curr Biol,Distinct roles of the cortical layers of area V1 in figure-ground segregation.,Roelfsema PR et al.
2013 Nov 4,Curr Biol,Temporal jitter of the BOLD signal reveals a reliable initial dip and improved spatial resolution.,Logothetis NK et al.
2014 Jan,J Psychiatr Res,DTI-measured white matter abnormalities in adolescents with Conduct Disorder.,Stevens MC et al.
2013 Oct 16,Neuron,Subthreshold mechanisms underlying state-dependent modulation of visual responses.,Hestrin S et al.
2013 Oct 16,Neuron,Firing rate homeostasis in visual cortex of freely behaving rodents.,Turrigiano GG et al.
2013 Oct 16,Neuron,Synaptic scaling and homeostatic plasticity in the mouse visual cortex in vivo.,Hübener M et al.
2013 Oct 16,Neuron,The downs and ups of sensory deprivation: evidence for firing rate homeostasis in vivo.,Zito K et al.
2013 Sep,Brain Pathol,A 78-year-old male with a right occipital lesion.,Pietsch T et al.
2013 Dec,Anat Rec (Hoboken),Main effect and interactions of brain regions and gender in the calculation of volumetric asymmetry indices in healthy human brains: ANCOVA analyses of in vivo 3T MRI data.,Aguilar-Castañeda E et al.
2014 Jan,Ann Nucl Med,A simple algorithm for subregional striatal uptake analysis with partial volume correction in dopaminergic PET imaging.,Chuang KS et al.
2013,Front Hum Neurosci,Abnormal functional connectivity during visuospatial processing is associated with disrupted organisation of white matter in autism.,Gallagher L et al.
2013,Front Neural Circuits,Three-dimensional mapping of microcircuit correlation structure.,Tolias AS et al.
2013 Oct 16,J Neurosci,Relationship between the local structure of orientation map and the strength of orientation tuning of neurons in monkey V1: a 2-photon calcium imaging study.,Fujita I et al.
2013 Oct 16,J Neurosci,Functional subdomains within human FFA.,Gallant JL et al.
2013 Oct 16,J Neurosci,Visual response properties of V1 neurons projecting to V2 in macaque.,Movshon JA et al.
2014 Jan,J Neurophysiol,"Neural correlates of motion processing through echolocation, source hearing, and vision in blind echolocation experts and sighted echolocation novices.",Goodale MA et al.
2013,PLoS Comput Biol,A simple rule for dendritic spine and axonal bouton formation can account for cortical reorganization after focal retinal lesions.,van Ooyen A et al.
2014,Rev Neurosci,Visual callosal connections: role in visual processing in health and disease.,Sartucci F et al.
2013 Dec,JAMA Neurol,Churg-Strauss syndrome: an uncommon cause of intracerebral hemorrhage.,Kass JS et al.
2013 Dec,Int J Psychophysiol,The differences in frontal midline theta power between successful and unsuccessful basketball free throws of elite basketball players.,Hung TM et al.
2014 Feb 1,Neuroimage,Fearful faces heighten the cortical representation of contextual threat.,Keil A et al.
2013 Jun 18,Zhonghua Yi Xue Za Zhi,[Relationship between episodic memory and resting-state brain functional connectivity network in patients with Alzheimer's disease and mild cognition impairment].,Yang HM et al.
2013,PLoS One,"Motions add, orientations don't, in the human visual system.",Freeman AW et al.
2015 Apr,Cereb Cortex,"Binocular stereoscopy in visual areas V-2, V-3, and V-3A of the macaque monkey.",Conway BR et al.
2014,J Alzheimers Dis,Distribution of pathology in frontal variant Alzheimer's disease.,Kril JJ et al.
2013 Dec,Schizophr Res,Cortical thickness in first-episode schizophrenia patients and individuals at high familial risk: a cross-sectional comparison.,Lawrie SM et al.
2014 Jan,Neuropsychologia,Neural correlates of shape-color binding in visual working memory.,Morcom AM et al.
2013,Neuroscience,Binocular pattern deprivation with delayed onset has impact on motion perception in adulthood.,Burnat K et al.
2014 Apr,Clin Neurophysiol,Unidirectional visual motion adaptation induces reciprocal inhibition of human early visual cortex excitability.,Bronstein AM et al.
2014 Jul 15,Biol Psychiatry,Body mass index-related regional gray and white matter volume reductions in first-episode mania patients.,Yatham LN et al.
2014 Apr,Neurobiol Aging,Apolipoprotein E genotype influences spatial distribution of cerebral microbleeds.,Vernooij MW et al.
2013 Dec,Eur J Neurosci,Spatiotopic perceptual learning mediated by retinotopic processing and attentional remapping.,Li W et al.
2013 Dec,Eur J Neurosci,The effect of task-irrelevant visual backgrounds on human transcranial magnetic stimulation-evoked electroencephalography responses and cortical alpha activity.,Bachmann T et al.
2013 Dec,Eur J Neurosci,Multiple sessions of transcranial direct current stimulation to the intact hemisphere improves visual function after unilateral ablation of visual cortex.,Valero-Cabré A et al.
2013 Dec,Eur J Neurosci,Parallelism in the brain's visual form system.,Zeki S et al.
2014 Feb,J Cogn Neurosci,Direct control of visual perception with phase-specific modulation of posterior parietal cortex.,Ro T et al.
2014 Feb,J Cogn Neurosci,Opposing dorsal/ventral stream dynamics during figure-ground segregation.,Lamme VA et al.
2014 Mar,J Cogn Neurosci,Effects of literacy in early visual and occipitotemporal areas of Chinese and French readers.,Cohen L et al.
2013 Dec,NMR Biomed,Effects of fat on MR-measured metabolite signal strengths: implications for in vivo MRS studies of the human brain.,Meyerhoff DJ et al.
2014 Jan,Ann Neurol,Trans-synaptic axonal degeneration in the visual pathway in multiple sclerosis.,Villoslada P et al.
2013,Folia Neuropathol,The coexistence of pleomorphic xanthoastrocytoma and arteriovenous malformation. A case report.,Ząbek M et al.
2013,Handb Clin Neurol,Transcranial magnetic stimulation and vision.,Silvanto J et al.
2014 Apr,Acta Neurol Scand,Pediatric frontal lobe epilepsy: white matter abnormalities and cognitive impairment.,Backes WH et al.
2013 Dec,Eur J Neurosci,"Diversity, heterogeneity and orientation-dependent variation of spike count correlation in the cat visual cortex.",Ito H et al.
2013,Annu Int Conf IEEE Eng Med Biol Soc,Localization of extrastriate body area using functional near-infrared spectroscopy and 3D digitizer.,Shimada S et al.
2013,Annu Int Conf IEEE Eng Med Biol Soc,An SSVEP based BCI to control a humanoid robot by using portable EEG device.,Akin HL et al.
2013,Annu Int Conf IEEE Eng Med Biol Soc,Quantitative evaluation for the wakefulness state using complexity-based decision threshold value in EEG signals.,Fukami T et al.
2013,Annu Int Conf IEEE Eng Med Biol Soc,A 24 Vpp compliant biphasic stimulator for inductively powered animal behavior studies.,Thakor NV et al.
2013,Annu Int Conf IEEE Eng Med Biol Soc,Coupling of fMRI and NIRS measurements in the study of negative BOLD response to intermittent photic stimulation.,Bianchi AM et al.
2013,Annu Int Conf IEEE Eng Med Biol Soc,A graph-theoretical analysis algorithm for quantifying the transition from sensory input to motor output by an emotional stimulus.,Grossman RG et al.
2013,Front Neurol,Can Chronic Remote Cortical Hypoperfusion Induced by Thalamic Infarction Cause Damage of Tracts Passing through Those Hypoperfused Regions?,Berger E et al.
2015 Apr,Cereb Cortex,Visual cortical gamma-band activity during free viewing of natural images.,Fries P et al.
2015 Apr,Cereb Cortex,Refinement but not maintenance of visual receptive fields is independent of visual experience.,Pallas SL et al.
2014 Jan,J Neurophysiol,Whole person-evoked fMRI activity patterns in human fusiform gyrus are accurately modeled by a linear combination of face- and body-evoked activity patterns.,Peelen MV et al.
2013 Oct 10,Nature,Neuroscience: Through the eyes of a mouse.,Baker M et al.
2013 Oct 9,J Neurosci,Prior expectations bias sensory representations in visual cortex.,de Lange FP et al.
2013 Oct 9,J Neurosci,The fine-scale functional correlation of striate cortex in sighted and blind people.,Aguirre GK et al.
2013,Front Neural Circuits,Spatiotemporal specificity of contrast adaptation in mouse primary visual cortex.,Crowder NA et al.
2014 Jun,Hum Brain Mapp,Different patterns and development characteristics of processing written logographic characters and alphabetic words: an ALE meta-analysis.,Niu Z et al.
2013 Oct 8,Transl Psychiatry,Altered fusiform connectivity during processing of fearful faces in social anxiety disorder.,Furmark T et al.
2014 Mar,Vis Neurosci,Color signals through dorsal and ventral visual pathways.,Conway BR et al.
2014 Jan,Dev Sci,Parallel development of ERP and behavioural measurements of visual segmentation.,Kemner C et al.
2013 Oct 22,Proc Natl Acad Sci U S A,Network model of top-down influences on local gain and contextual interactions in visual cortex.,Gilbert CD et al.
2013,Turk Neurosurg,Primary multiple cerebral hydatid disease: still symptomatic despite pathologically confirmed death of the cyst.,Hepgul K et al.
2014 Jan 1,Neuroimage,Patterns of resting state connectivity in human primary visual cortical areas: a 7T fMRI study.,Ramsey NF et al.
2013 Dec 2,Brain Res,How are the motor system activity and functional connectivity between the cognitive and sensorimotor systems modulated by athletic expertise?,Rumiati RI et al.
2013 Dec 30,Psychiatry Res,Changes in cortical thickness across the lifespan in major depressive disorder.,Hall GB et al.
2013,PLoS One,Faster metabolite (1)H transverse relaxation in the elder human brain.,Terpstra M et al.
2013 Nov 5,Neurology,Neurovascular decoupling is associated with severity of cerebral amyloid angiopathy.,Smith EE et al.
2014 Jul,J Neuroradiol,Computed anatomical modelling of the optic pathway and oculomotor system using magnetic resonance imaging.,Riesco JM et al.
2014 Feb,Neurobiol Aging,Age-related differences in the neural correlates mediating false recollection.,Peterson KM et al.
2013 Oct 2,Neuron,A theory of the transition to critical period plasticity: inhibition selectively suppresses spontaneous activity.,Miller KD et al.
2013,Brain Connect,Atypical effective connectivity of social brain networks in individuals with autism.,Glymour C et al.
2013 Dec,Exp Brain Res,The sound-induced phosphene illusion.,Vallar G et al.
2014 Mar,AJNR Am J Neuroradiol,Regional cerebral blood flow in children from 3 to 5 months of age.,Phillips JP et al.
2013 Nov-Dec,Cortex,Separate attentional components modulate early visual cortex excitability.,Roberts RE et al.
2013,Biomed Res Int,"A prospective profile of visual field loss following stroke: prevalence, type, rehabilitation, and outcome.",Freeman C et al.
2013 Oct 2,J Neurosci,Blood oxygen level-dependent activation of the primary visual cortex predicts size adaptation illusion.,Morrone MC et al.
2013 Oct 2,J Neurosci,Heterosynaptic plasticity prevents runaway synaptic dynamics.,Bazhenov M et al.
2013 Oct 2,J Neurosci,"Mechanisms for stable, robust, and adaptive development of orientation maps in the primary visual cortex.",Bednar JA et al.
2013 Dec,J Neurophysiol,Dissociating the neural bases of repetition-priming and adaptation in the human brain for faces.,Kovács G et al.
2014 Jan,J Neurophysiol,The dynamics of invariant object recognition in the human visual system.,Poggio T et al.
2013 Dec,J Neurophysiol,Joint tuning for direction of motion and binocular disparity in macaque MT is largely separable.,Born RT et al.
2013 Nov,Clin Nucl Med,Evaluation of headache and regional cerebral flood flow in patients with migraine.,Xie LJ et al.
2013 Oct 15,Proc Natl Acad Sci U S A,Receptive field focus of visual area V4 neurons determines responses to illusory surfaces.,Maier A et al.
2014 Jan 15,J Neurosci Methods,Automatic mapping of visual cortex receptive fields: a fast and precise algorithm.,Gattass R et al.
2014 Jan 1,Neuroimage,Overlapping activity periods in early visual cortex and posterior intraparietal area in conscious visual shape perception: a TMS study.,Railo H et al.
2013 May,J Pediatr Neurosci,Neuropsychological impairment in early-onset hydrocephalus and epilepsy with continuous spike-waves during slow-wave sleep: A case report and literature review.,Parmeggiani A et al.
2013 Sep 30,J Vis,Multiscale sampling model for motion integration.,Yazdanbakhsh A et al.
2013 Nov 20,Brain Res,The neural pathway underlying a numerical working memory task in abacus-trained children and associated functional connectivity in the resting brain.,Chen F et al.
2014 Jun,J Comput Neurosci,Development of spatial coarse-to-fine processing in the visual pathway.,Nirody JA et al.
2014 Feb,MAGMA,Direct cerebral and cardiac 17O-MRI at 3 Tesla: initial results at natural abundance.,Bock M et al.
2013 Dec,Brain Cogn,"TMS to the ""occipital face area"" affects recognition but not categorization of faces.",Steeves JK et al.
2014 Jan,J Trace Elem Med Biol,Iron levels in the human brain: a post-mortem study of anatomical region differences and age-related changes.,Almeida A et al.
2013,Cogn Neurosci,The emergent property of border-ownership and the perception of illusory surfaces in a dynamic hierarchical system.,Wagemans J et al.
2013,Cogn Neurosci,"Borders, contours, and mechanism.",Peterson MA et al.
2013,Cogn Neurosci,"Surface reconstruction, figure-ground modulation, and border-ownership.",Roelfsema PR et al.
2013,Cogn Neurosci,Neurophysiological constraints on models of illusory contours.,von der Heydt R et al.
2013,Cogn Neurosci,Filling-in the gaps in models of completion.,Anderson BL et al.
2013,Cogn Neurosci,"""Connectability"" matters too: completion theories need to be complete.",Gerbino W et al.
2013,Cogn Neurosci,Long range grouping mechanisms for object perception.,Fesi JD et al.
2013,Cogn Neurosci,"The ""side"" matters: how configurality is reflected in completion.",Wagemans J et al.
2013,Cogn Neurosci,Effects of emotional music on visual processes in inferior temporal area.,Iwamoto Y et al.
2013 Nov,Neuropsychologia,TMS to V1 spares discrimination of emotive relative to neutral body postures.,Monsell S et al.
2013 Dec,Eur Neuropsychopharmacol,Low single dose gabapentin does not affect prefrontal and occipital gamma-aminobutyric acid concentrations.,Hasler G et al.
2013,Cell Transplant,Neural stem/progenitor cell transplantation for cortical visual impairment in neonatal brain injured patients.,Du Q et al.
2013,Front Neural Circuits,Target dependence of orientation and direction selectivity of corticocortical projection neurons in the mouse V1.,Ohki K et al.
2013 Sep 25,J Neurosci,Categorical clustering of the neural representation of color.,Heeger DJ et al.
2013 Dec,J Neurol,Glucose metabolism in nine patients with probable sporadic Creutzfeldt-Jakob disease: FDG-PET study using SPM and individual patient analysis.,Boudousq V et al.
2013,Brain Connect,Pattern-based Granger causality mapping in FMRI.,Park H et al.
2015 Mar,Cereb Cortex,Early visuomotor integration processes induce LTP/LTD-like plasticity in the human motor cortex.,Berardelli A et al.
2013 Nov,Neuropsychologia,Opposing roles of sensory and parietal cortices in awareness in a bistable motion illusion.,Rothwell JC et al.
2014 Jan 15,J Neurosci Methods,"A new, behaving, head restrained, eye movement-controlled feline model for chronic visual electrophysiological recordings.",Nagy A et al.
2013 Oct 16,Neuron,Cellular resolution functional imaging in behaving rats using voluntary head restraint.,Tank DW et al.
2013,Suppl Clin Neurophysiol,Auditory-evoked alpha oscillations imply reduced anterior and increased posterior amplitudes in schizophrenia.,Mathes B et al.
2013 Nov,Sleep Med,How we fall asleep: regional and temporal differences in electroencephalographic synchronization at sleep onset.,De Gennaro L et al.
2013 Sep 18,J Neurosci,The role of GluA1 in ocular dominance plasticity in the mouse visual cortex.,Fox K et al.
2013 Sep 18,J Neurosci,Responses to random dot motion reveal prevalence of pattern-motion selectivity in area MT.,Uka T et al.
2014 Jul,Clin EEG Neurosci,Reproducibility of EEG-fMRI results in a patient with fixation-off sensitivity.,Manganotti P et al.
2013 Dec,J Neurophysiol,Anesthesia differentially modulates spontaneous network dynamics by cortical area and layer.,Fröhlich F et al.
2013 Sep,Gan To Kagaku Ryoho,[An elderly patient with large cell neuroendocrine carcinoma(LCNEC)for whom chemotherapy with irinotecan and split-dose cisplatin(CDDP)proved very effective].,Ohsaki Y et al.
2015 Feb,Cereb Cortex,Extracellular signal-regulated kinase (ERK) activity during sleep consolidates cortical plasticity in vivo.,Frank MG et al.
2014 Feb,J Cogn Neurosci,Task- and experience-dependent cortical selectivity to features informative for categorization.,Fernández G et al.
2013 Sep,Neurodiagn J,Epileptiform transients of the occipital lobe in pediatrics.,Campbell S et al.
2014 Jan 1,Neuroimage,Feedback of the amygdala globally modulates visual response of primary visual cortex in the cat.,Yu H et al.
2013 Oct 1,Proc Natl Acad Sci U S A,Spatiotemporal dynamics in understanding hand-object interactions.,Rizzolatti G et al.
2014 Jan,IEEE Trans Med Imaging,SCoRS--A Method Based on Stability for Feature Selection and Mapping inNeuroimaging [corrected].,Mourao-Miranda J et al.
2013 Dec 19,Neuroscience,Sex-dependent neurochemical effects of environmental enrichment in the visual system.,Papadopoulou-Daifoti Z et al.
2013 Nov,Vis Neurosci,Linking neural activity to complex decisions.,Pasternak T et al.
2013,PLoS One,Abnormal functional connectivity of amygdala in late-onset depression was associated with cognitive deficits.,Zhang Z et al.
2013,PLoS One,Circadian regulation of the Na+/K+-ATPase alpha subunit in the visual system is mediated by the pacemaker and by retina photoreceptors in Drosophila melanogaster.,Pyza E et al.
2013,PLoS One,Human fMRI reveals that delayed action re-recruits visual perception.,Culham JC et al.
2013,PLoS One,Different cortical dynamics in face and body perception: an MEG study.,Hadjikhani N et al.
2014 Mar,J Neurol Neurosurg Psychiatry,Grammatical comprehension deficits in non-fluent/agrammatic primary progressive aphasia.,Grossman M et al.
2014 Mar,J Comp Neurol,The cross-modal aspect of mouse visual cortex plasticity induced by monocular enucleation is age dependent.,Arckens L et al.
2013 Nov,Br J Ophthalmol,Perceptual learning treatment in patients with anisometropic amblyopia: a neuroimaging study.,Gao J et al.
2013 Oct,Nat Neurosci,An illusion predicted by V1 population activity implicates cortical topography in shape perception.,Seidemann E et al.
2013 Nov,Neuropsychologia,A case of naturally occurring visual field loss in a chimpanzee with an arachnoid cyst.,Tomonaga M et al.
2014 Jan 1,Neuroimage,Tactile and visual motion direction processing in hMT+/V5.,Sterzer P et al.
2013 Dec 19,Neuroscience,Response properties of local field potentials and multiunit activity in the mouse visual cortex.,Engel AK et al.
2013 Nov,Eur J Neurosci,Visual cortex organisation in a macaque monkey with macular degeneration.,Smirnakis SM et al.
2013 Nov,J Neurosurg,Occipital lobe.,Aguirre JF et al.
2013 Nov,J Neurochem,Neuron-specific specificity protein 4 bigenomically regulates the transcription of all mitochondria- and nucleus-encoded cytochrome c oxidase subunit genes in neurons.,Wong-Riley MT et al.
2013 May 7,Zhonghua Yi Xue Za Zhi,[Study of cortical thinning in the patients with type 2 diabetes mellitus and the recovering effect of the insulin therapy].,Ma L et al.
2013 Nov,Neuropsychologia,Overlapping neural circuitry for narrative comprehension and proficient reading in children and adolescents.,Holland SK et al.
2012 Dec 20,Neuroradiol J,Progressive AVM Thrombosis after Onyx Embolization with Angiographic Cure.,Tejada JG et al.
2013 Sep 11,J Neurosci,Repetition suppression and multi-voxel pattern similarity differentially track implicit and explicit visual memory.,Kuhl BA et al.
2014 Jun,Hum Brain Mapp,Long-term neurobiological consequences of early postnatal hCMV-infection in former preterms: a functional MRI study.,Wilke M et al.
2013 Dec,J Neurophysiol,Human cortical and behavioral sensitivity to patterns of complex motion at eccentricity.,Clifford CW et al.
2013 Summer,J Neuropsychiatry Clin Neurosci,A possible case of transient Anton's Syndrome status post bilateral occipital lobe infarct.,Williams A et al.
2013,PLoS One,Memory self-efficacy beliefs modulate brain activity when encoding real-world future intentions.,Eriksson J et al.
2014 Jan 1,Neuroimage,Reliability measures of functional magnetic resonance imaging in a longitudinal evaluation of mild cognitive impairment.,Gazzaley A et al.
2013,PLoS One,Experienced mindfulness meditators exhibit higher parietal-occipital EEG gamma activity during NREM sleep.,Tononi G et al.
2013 Nov,Graefes Arch Clin Exp Ophthalmol,Penetrating electrode stimulation of the rabbit optic nerve: parameters and effects on evoked cortical potentials.,Li L et al.
2013 Sep 23,Curr Biol,Learning optimizes decision templates in the human visual cortex.,Kourtzi Z et al.
2013 Oct 2,Neuron,Environmental enrichment rescues binocular matching of orientation preference in mice that have a precocious critical period.,Cang J et al.
2013 Sep 4,Neuron,The cerebral emporium of benevolent knowledge.,Pack CC et al.
2013 Nov,Clin Neurol Neurosurg,Seizures as a presenting symptom in neurosurgical patients: a retrospective single-institution analysis.,Kuratsu J et al.
2013,PLoS One,Proton magnetic resonance spectroscopy ((1)H-MRS) reveals geniculocalcarine and striate area degeneration in primary glaucoma.,Zhang X et al.
2013,PLoS Comput Biol,Visual nonclassical receptive field effects emerge from sparse coding in a dynamical system.,Rozell CJ et al.
2013,PLoS Comput Biol,Sparse coding models can exhibit decreasing sparseness while learning sparse codes for natural images.,DeWeese MR et al.
2013 Nov,Neuropsychologia,The 6 Hz fundamental stimulation frequency rate for individual face discrimination in the right occipito-temporal cortex.,Rossion B et al.
2013 Jun,Zhen Ci Yan Jiu,[Comparative study on effects of electroacupuncture stimulation of Shenmen (HT 7) and Taiyuan (LU 9) on P 300 of event-related potentials and brain electrical activity mapping in healthy young adults].,Zhou F et al.
2013 Jul-Aug,Neurol India,Mixed astroblastoma-arteriovenous malformation complex: a case report.,Qi XL et al.
2014 Jan,Brain Topogr,MEG and EEG sensitivity in a case of medial occipital epilepsy.,Chauvel P et al.
2014 Jan,J Cogn Neurosci,Ventral and dorsal visual stream contributions to the perception of object shape and object location.,Behrmann M et al.
2014 Jan,J Cogn Neurosci,Reaction time for object categorization is predicted by representational distance.,Ma J et al.
